Label,Year,Month,Close (Rs.),Election
JKH.N0000,1986,8,0.0,0
SUN.N0000,1990,3,12.5,0
GREG.N0000,1990,4,0.5,0
SELI.N0000,1991,1,550.0,0
SHAL.N0000,1991,2,575.0,0
KZOO.N0000,1991,4,125.0,0
GOOD.N0000,1991,7,535.0,0
JKH.N0000,1991,7,0.0,0
LPRT.N0000,1991,7,28.25,0
PARA.N0000,1991,7,45.75,0
ARPI.N0000,1991,8,70.5,0
BINN.N0000,1991,8,49.5,0
BRWN.N0000,1991,8,197.5,0
CARG.N0000,1991,8,350.0,0
CFIN.N0000,1991,8,230.0,0
CFLB.N0000,1991,8,28.25,0
CFT.N0000,1991,8,85.0,0
CIND.N0000,1991,8,26.5,0
COMB.N0000,1991,8,240.0,0
CTC.N0000,1991,8,49.75,0
CTCE.N0000,1991,8,48.5,0
CTHR.N0000,1991,8,130.0,0
DFCC.N0000,1991,8,1450.0,0
DIPD.N0000,1991,8,165.0,0
EAST.N0000,1991,8,34.0,0
GHLL.N0000,1991,8,6.125,0
HAYC.N0000,1991,8,175.0,0
HAYL.N0000,1991,8,547.5,0
HDEV.N0000,1991,8,12.0,0
HUEJ.N0000,1991,8,50.0,0
JKH.N0000,1991,8,306.625,0
LCEM.N0000,1991,8,7.0,0
LDEV.N0000,1991,8,54.0,0
LMF.N0000,1991,8,35.0,0
MIRA.N0000,1991,8,60.0,0
MORI.N0000,1991,8,250.0,0
OSEA.N0000,1991,8,12.75,0
PDL.N0000,1991,8,18.0,0
RICH.N0000,1991,8,385.0,0
SAMP.N0000,1991,8,23.0,0
SEYB.N0000,1991,8,40.875,0
SHOT.N0000,1991,8,46.0,0
SUGA.N0000,1991,8,13.0,0
TILE.N0000,1991,8,56.5,0
ACL.N0000,1991,9,100.0,0
ASIR.N0000,1991,9,20.0,0
BHR.N0000,1991,9,53.0,0
CARG.N0000,1991,9,330.0,0
CFIN.N0000,1991,9,210.0,0
CFLB.N0000,1991,9,27.0,0
CHOU.N0000,1991,9,18.5,0
CIC.N0000,1991,9,111.0,0
CIND.N0000,1991,9,24.0,0
CINV.N0000,1991,9,237.5,0
COMB.N0000,1991,9,220.0,0
CTC.N0000,1991,9,45.0,0
CTCE.N0000,1991,9,46.0,0
EQIT.N0000,1991,9,20.0,0
GHLL.N0000,1991,9,6.25,0
GRAN.N0000,1991,9,125.0,0
HAYC.N0000,1991,9,140.375,0
HAYL.N0000,1991,9,405.0,0
HDEV.N0000,1991,9,10.75,0
HNB.N0000,1991,9,360.0,0
JKH.N0000,1991,9,281.5,0
KAPI.N0000,1991,9,17.0,0
KZOO.N0000,1991,9,125.0,0
LCEM.N0000,1991,9,6.25,0
LMF.N0000,1991,9,32.0,0
MORI.N0000,1991,9,250.0,0
NEST.N0000,1991,9,21.0,0
